"lhs","op","rhs","block","group","label.x","est.x","se.x","z.x","pvalue.x","ci.lower.x","ci.upper.x","label.y","est.y","se.y","z.y","pvalue.y","ci.lower.y","ci.upper.y"
"impenv_r","~1","","Norway",10,".p18.",4.843,0.020447782196205,236.843033432203,0,4.8028378456419,4.88299167897847,".p18.",5.108,0.0175901696862416,290.36781210491,0,5.07314298728109,5.14209518541506
"Benev","~1","","Norway",10,"",NA,0.0305405004079255,0.827233785506807,0.408104565604207,-0.0345941471056443,0.0851224146330851,"",-0.076,0.0268250607854361,-2.84177174766794,0.0044863599023679,-0.12880685289208,-0.0236545468469751
"Unive","~1","","Norway",10,"",-0.06,0.027659972135579,-2.18488480984727,0.0288972935477005,-0.114646402158942,-0.00622130376070899,"",-0.171,0.0255383779977233,-6.68556307279239,2.30038210702332e-11,-0.2207927379797,-0.120684135781485
"Benev","=~","iphlppl_r","Poland",11,"",NA,0,NA,NA,1,1,"",NA,0,NA,NA,1,1
"Benev","=~","iplylfr_r","Poland",11,".p2.",0.862,0.0136103318005573,63.3673732108656,0,0.835775214582892,0.889126734876357,".p2.",0.883,0.01317319860059,67.0207398445599,0,0.857058521512514,0.908696511149214
"Unive","=~","ipeqopt_r","Poland",11,"",NA,0,NA,NA,1,1,"",NA,0,NA,NA,1,1
"Unive","=~","ipudrst_r","Poland",11,".p4.",1.08,0.0204775822701508,52.7385860900557,0,1.0398234117306,1.1200940592105,".p4.",1.131,0.0208663609263025,54.188930502047,0,1.08982846616207,1.17162309797
"Unive","=~","impenv_r","Poland",11,".p5.",0.951,0.0192213744019469,49.490230099638,0,0.913597040422467,0.988943443544819,".p5.",1.003,0.0195562210628974,51.3059374028638,0,0.965020764732597,1.04167974264656
"Benev","~~","Unive","Poland",11,"",0.314,0.0176971484291014,17.766898278205,0,0.279737662404042,0.349109209504239,"",0.43,0.0233687067620934,18.3982198570164,0,0.38414078116416,0.475744428402121
"iphlppl_r","~~","iphlppl_r","Poland",11,"",0.439,0.0266255205851634,16.5045194971069,0,0.3872563622019,0.491626485035001,"",0.584,0.0357324385786722,16.3438780014205,0,0.513972324129082,0.654040909517057
"iplylfr_r","~~","iplylfr_r","Poland",11,"",0.352,0.0205885515266483,17.0779656238662,0,0.311257755731219,0.391963394703374,"",0.54,0.0334445966819483,16.1603917318967,0,0.474927578721492,0.606027988669666
"ipeqopt_r","~~","ipeqopt_r","Poland",11,"",0.586,0.033368277223525,17.5725572135873,0,0.520965339044979,0.651766582213494,"",0.803,0.0441053174872622,18.2039558593515,0,0.716446418899065,0.889336086502542
"ipudrst_r","~~","ipudrst_r","Poland",11,"",0.655,0.033831721840597,19.3551112177833,0,0.588507782571317,0.721125695256411,"",0.761,0.0443438980880268,17.1638981323957,0,0.674201706389582,0.848026592762876
"impenv_r","~~","impenv_r","Poland",11,"",0.487,0.0286926624459943,16.9842827168912,0,0.431087705868382,0.543560875897809,"",0.621,0.0350098988642398,17.7379487268392,0,0.552385650109412,0.689621931862012
"Benev","~~","Benev","Poland",11,"",0.372,0.0262029232681017,14.213039082185,0,0.321066386581878,0.42377995837217,"",0.467,0.0344961935592458,13.5347084067318,0,0.399284623986726,0.534507217946414
"Unive","~~","Unive","Poland",11,"",0.3,0.0209139902478081,14.3569006276805,0,0.259269412057334,0.341250747374785,"",0.358,0.0265277859516074,13.4839382026515,0,0.305705521369902,0.409692531479378
"iphlppl_r","~1","","Poland",11,".p14.",4.863,0.0233792526338243,208.02464031078,0,4.8176381267384,4.90928311303392,".p14.",5.023,0.0191662324090617,262.05587402781,0,4.98505866053572,5.06018891101789
"iplylfr_r","~1","","Poland",11,".p15.",5.114,0.0202368439501725,252.688485447535,0,5.0739539627041,5.15328093331029,".p15.",5.256,0.0168331722318731,312.225861052608,0,5.22275928302339,5.28874410566345
